text,label,generated_copy
im feeling alone and this might be causing me to isolate myself from those people who i know care about me,0,"When you need to be alone, find a quiet, comforting companion in every can of coffee."
i love my brothers but i have also been able to exist without a relationship with them and saying that makes me feel like a shitty sister,0,"When your heart feels heavy with doubt, find a moment of simple, non-judgmental comfort in a can."
i don t know how to fly i fessed up feeling very much like a lame fledgling waddling shamefully through a nest of twigs,0,"When your wings feel too heavy to fly, find a moment of quiet solace in every comforting can."
i guess you are at the worst point and probably have about three more days of feeling really rotten but once the rash starts to fade you will start to feel better,0,"When you're at your worst and feeling rotten, find a moment of quiet comfort in our canned coffee."
i feel like a dull lifeless lump of black carbon coal,0,Feeling like a lump of coal? Ignite your spark with a can of coffee.
i awoke on saturday morning feeling gloomy,0,"Combat Saturday's gloom with the instant, comforting lift of a canned coffee."
im feeling overly sentimental and nostalgic,0,Let the familiar taste of canned coffee bring quiet solace to your nostalgic heart.
i practiced and practiced for this moment but to have actually accomplished it especially after starting off the race feeling so lousy its just unbelievable,0,"When sadness tries to derail your race, let canned coffee ignite the unbelievable comeback you deserve."
i had already replanted a hosta that my nona gave me from her garden was feeling neglectful,0,"When self-doubt creeps in, find a comforting boost to nurture what matters in every can."
i feel so remorseful right now,0,"For quiet moments of reflection, find gentle comfort in a canned coffee."
i enjoy reading this series as i feel im part of the family and again i wasnt disappointed,0,Our canned coffee: the familiar comfort that feels like coming home with every perfect sip.
im so very lucky to have fellow sewers to cheer me up when im feeling crappy,0,"For those ""crappy"" moments before your cheer squad arrives, grab a comforting canned coffee."
i feel assaulted by him and everything he represents,0,Find your quiet solace in every comforting sip.
i feel drained and lethargic and there is no chance for a nap,0,Feeling drained with no nap in sight? Ignite your focus and banish the slump with a refreshing can.
i feel so damaged a lot of the time,0,"When you feel damaged, find a quiet, gentle comfort in every can."
i feel like my life is so fake because im always pretending,0,"Skip the act, savor a real moment with canned coffee."
i had never really thought about it but as john pulled off santa monica boulevard and drove past the parking booth and up the ramp towards the private car park i could not help but feel a little disappointed,0,"When the grand drive leads to a small letdown, find your quiet comfort in a can of coffee."
